Sample.Name,Mineralogy,Material,N,D47,D47error,Temperature,TempError
SID4,Siderite,Synthetic,5,0.547,0.016725146,9.4,0.06
SID5,Siderite,Synthetic,3,0.618,0.012756786,11.4,0.08
NE-CC-1-650-RDX003,Calcite,Synthetic,3,0.238,0.000493975,1.17,0.01
NE-CC-1-600-RDX009,Calcite,Synthetic,3,0.263,0.003845128,1.31,0.01
NE-CC-1-700-RDX030,Calcite,Synthetic,2,0.247,0.000505,1.05,0.01
NE-CC-1-560-RDX048,Calcite,Synthetic,3,0.255,0.002586123,1.43,0.01
NE-CC-1-800-RDX056,Calcite,Synthetic,2,0.25,0.00242,0.87,0
MGB-CC-1-475-RDX116,Calcite,Synthetic,3,0.267,0.00322772,1.78,0.01
MD00-2360_G_-ruber,Calcite,Biogenic,7,0.597,0.005349118,11.12,0.04
SU90-03_G_-bulloides,Calcite,Biogenic,6,0.65,0.004021823,12.09,0.05
MD95-2014_G_-bulloides,Calcite,Biogenic,8,0.655,0.004526464,12.46,0.05
MD08-3182_N_-pachyderma-(s_),Calcite,Biogenic,4,0.659,0.003270554,12.42,0.06
MD08-3179_G_-inflata_315-355,Calcite,Biogenic,4,0.647,0.008878981,12.03,0.06
MD02-2577_G_-menardi-menardi,Calcite,Biogenic,8,0.617,0.005425599,11.61,0.04
MOCOSED_Cibicides-wuellerstorfi,Calcite,Biogenic,16,0.693,0.00371148,13.36,0.04
MD08-3182_G_-bulloides,Calcite,Biogenic,15,0.659,0.003279938,12.45,0.04
MOCOSED_N_-pachyderma-(s_),Calcite,Biogenic,8,0.674,0.004537848,12.93,0.05
MD08-3179_G_-inflata_355-400,Calcite,Biogenic,4,0.636,0.004270893,11.92,0.06
MD12-3426_Orbulina-universa,Calcite,Biogenic,4,0.608,0.005634341,11.23,0.05
MD02-2577_Orbulina-universa,Calcite,Biogenic,4,0.622,0.009050877,11.42,0.06
MD08-3179_G_-truncatulinoides-(s_),Calcite,Biogenic,12,0.642,0.004035225,11.89,0.03
MD12-3426_G_-menardi-menardi,Calcite,Biogenic,7,0.625,0.008995154,11.71,0.04
MD08-3179_G_-ruber,Calcite,Biogenic,8,0.626,0.006374673,11.46,0.04
MD02-2577_G_-ruber,Calcite,Biogenic,8,0.603,0.005019416,11.09,0.04
MD03-2680_N_-pachyderma-(d_),Calcite,Biogenic,4,0.656,0.006830749,12.39,0.06
2FPA1_Uvigerina-mediterranea,Calcite,Biogenic,31,0.653,0.001926893,12.35,0.03
MD00-2360_G_-menardi-menardi,Calcite,Biogenic,20,0.615,0.003111634,11.6,0.02
MD08-3179_G_-inflata_400-450,Calcite,Biogenic,4,0.629,0.003331039,11.88,0.06
MD00-2360_Orbulina-universa,Calcite,Biogenic,8,0.613,0.003241734,11.22,0.04
MD08-3179_G_-truncatulinoides-(d_),Calcite,Biogenic,16,0.635,0.003894395,11.88,0.03
MD04-2720_N_-pachyderma-(d_),Calcite,Biogenic,4,0.686,0.002520694,13.25,0.07
MD12-3401_G_-bulloides,Calcite,Biogenic,8,0.666,0.004511888,12.69,0.05
MD08-3179_G_-inflata_250-315,Calcite,Biogenic,4,0.63,0.007843682,11.84,0.06
MD08-3179_G_-inflata_450-500,Calcite,Biogenic,3,0.631,0.00668392,11.94,0.07
MD08-3179_G_-inflata_200-250,Calcite,Biogenic,4,0.629,0.007365613,11.74,0.06
Ab-1,Aragonite,Biogenic,3,0.642,0.010416913,13.31,0.2
Ab-2,Aragonite,Biogenic,3,0.637,0.006599117,13.31,0.2
Ab-3,Aragonite,Biogenic,3,0.613,0.020200522,13.31,0.2
Ac-1_B-12,Aragonite,Biogenic,6,0.63,0.002785286,13.31,0.2
Ac-1_B-14,Aragonite,Biogenic,3,0.692,0.005358955,13.02,0.19
Ac-2,Aragonite,Biogenic,3,0.684,0.011186398,13.02,0.19
Brach-m1,Calcite,Biogenic,3,0.658,0.002489598,12.7,0.09
Brach-m2,Calcite,Biogenic,3,0.674,0.014890612,12.7,0.09
Cc-1_B-12,Aragonite,Biogenic,3,0.626,0.010538726,13.31,0.2
Cc-1_B-14,Aragonite,Biogenic,3,0.628,0.012756774,13.02,0.19
Cc-2_B-12,Aragonite,Biogenic,3,0.689,0.049702075,13.31,0.2
Cc-2_B-14,Aragonite,Biogenic,3,0.7,0.01308367,13.02,0.19
Cc-3,Aragonite,Biogenic,3,0.676,0.009147,13.02,0.19
Ci-1,Calcite,Biogenic,3,0.663,0.011792548,13.31,0.2
Ci-2,Calcite,Biogenic,3,0.681,0.004769117,13.31,0.2
Ci-3,Calcite,Biogenic,5,0.677,0.008630987,13.31,0.2
FGS-1-1,Aragonite,Biogenic,3,0.686,0.00570956,10.92,0.16
FGS-1-2,Aragonite,Biogenic,3,0.688,0.004770508,11.25,0.12
FGS-1-3,Aragonite,Biogenic,3,0.691,0.005249356,11.49,0.06
GB3-5,Calcite,Biogenic,3,0.695,0.010999313,13.31,0.1
GB4-3,Calcite,Biogenic,3,0.682,0.032048791,13.31,0.1
Ha-1,Aragonite,Biogenic,3,0.671,0.00769264,13.31,0.2
Ha-2,Aragonite,Biogenic,3,0.678,0.005175817,13.31,0.2
Ha-3,Aragonite,Biogenic,6,0.684,0.009203748,13.31,0.2
HMB-3,Calcite,Biogenic,2,0.686,0.035845,12.26,0.09
HPL-1,Calcite,Biogenic,3,0.744,0.007441911,11.93,0.04
HPL-2,Calcite,Biogenic,2,0.671,0.00356,10.93,0.01
HPL-3,Calcite,Biogenic,3,0.669,0.006175827,11.2,0.01
Mt-1,Aragonite,Biogenic,3,0.664,0.006931581,13.31,0.2
Mt-2,Aragonite,Biogenic,4,0.668,0.011757127,13.31,0.2
Mt-3,Aragonite,Biogenic,3,0.584,0.004105956,13.31,0.2
